cell_type,count,percentage,k562_relevance,weighted_count,k562_weighted,k562_weighted_sqrt,k562_hybrid,proportional_sample,sqrt_sample
lung pericyte,0,0.0,0.5,0.0,0,0,0,0,0
lung perichondrial fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
myeloid cell,0,0.0,3.0,0.0,0,0,0,0,0
lung multiciliated epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
lung microvascular endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
lung megakaryocyte,0,0.0,3.0,0.0,0,0,0,0,0
lung macrophage,0,0.0,3.0,0.0,0,0,0,0,0
medullary thymic epithelial cell type 2,0,0.0,0.5,0.0,0,0,0,0,0
mural cell,0,0.0,0.5,0.0,0,0,0,0,0
multiciliated epithelial cell of the bronchus,0,0.0,0.5,0.0,0,0,0,0,0
multiciliated epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
motor neuron,0,0.0,0.5,0.0,0,0,0,0,0
mammary gland epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
malignant cell,0,0.0,1.5,0.0,0,0,0,0,0
male germ cell,0,0.0,0.5,0.0,0,0,0,0,0
monocyte-derived dendritic cell,0,0.0,3.0,0.0,0,0,0,0,0
mononuclear leukocyte,0,0.0,0.5,0.0,0,0,0,0,0
mononuclear phagocyte,0,0.0,0.5,0.0,0,0,0,0,0
mucosa-associated lymphoid tissue macrophage,0,0.0,3.0,0.0,0,0,0,0,0
multiciliated columnar cell of tracheobronchial tree,0,0.0,0.5,0.0,0,0,0,0,0
macula densa epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
mucous cell of stomach,0,0.0,0.5,0.0,0,0,0,0,0
mucous neck cell of gastric gland,0,0.0,0.5,0.0,0,0,0,0,0
mucus secreting cell,0,0.0,0.5,0.0,0,0,0,0,0
mucus secreting cell of bronchus submucosal gland,0,0.0,0.5,0.0,0,0,0,0,0
mucus secreting cell of tracheobronchial tree submucosal gland,0,0.0,0.5,0.0,0,0,0,0,0
A2 amacrine cell,0,0.0,0.5,0.0,0,0,0,0,0
peptic cell,0,0.0,0.5,0.0,0,0,0,0,0
non-myelinating Schwann cell,0,0.0,0.5,0.0,0,0,0,0,0
non-pigmented ciliary epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
spermatogonium,0,0.0,0.5,0.0,0,0,0,0,0
spinal cord radial glial cell,0,0.0,0.5,0.0,0,0,0,0,0
spinous cell of epidermis,0,0.0,0.5,0.0,0,0,0,0,0
splanchnic mesodermal cell,0,0.0,0.5,0.0,0,0,0,0,0
squamous epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
sst GABAergic cortical interneuron,0,0.0,0.5,0.0,0,0,0,0,0
sst chodl GABAergic cortical interneuron,0,0.0,0.5,0.0,0,0,0,0,0
starburst amacrine cell,0,0.0,0.5,0.0,0,0,0,0,0
stellate neuron,0,0.0,0.5,0.0,0,0,0,0,0
stem cell,0,0.0,0.5,0.0,0,0,0,0,0
stem cell of epidermis,0,0.0,0.5,0.0,0,0,0,0,0
stratified epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
stratified squamous epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
striated cell of salivary gland,0,0.0,0.5,0.0,0,0,0,0,0
stromal cell of endometrium,0,0.0,0.5,0.0,0,0,0,0,0
stromal cell of lamina propria of small intestine,0,0.0,0.5,0.0,0,0,0,0,0
stromal cell of ovary,0,0.0,0.5,0.0,0,0,0,0,0
stromal cell of pancreas,0,0.0,0.5,0.0,0,0,0,0,0
subcutaneous adipocyte,0,0.0,0.5,0.0,0,0,0,0,0
supporting cell,0,0.0,0.5,0.0,0,0,0,0,0
supporting cell of vestibular epithelium,0,0.0,0.5,0.0,0,0,0,0,0
suprabasal keratinocyte,0,0.0,0.5,0.0,0,0,0,0,0
sympathetic neuron,0,0.0,0.5,0.0,0,0,0,0,0
spermatocyte,0,0.0,0.5,0.0,0,0,0,0,0
spermatid,0,0.0,0.5,0.0,0,0,0,0,0
somatic stem cell,0,0.0,0.5,0.0,0,0,0,0,0
skin fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
serous cell of epithelium of bronchus,0,0.0,0.5,0.0,0,0,0,0,0
serous cell of epithelium of lobular bronchiole,0,0.0,0.5,0.0,0,0,0,0,0
serous cell of epithelium of trachea,0,0.0,0.5,0.0,0,0,0,0,0
serous secreting cell,0,0.0,0.5,0.0,0,0,0,0,0
serous secreting cell of bronchus submucosal gland,0,0.0,0.5,0.0,0,0,0,0,0
skeletal muscle fiber,0,0.0,0.5,0.0,0,0,0,0,0
skeletal muscle fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
skeletal muscle myoblast,0,0.0,0.5,0.0,0,0,0,0,0
skeletal muscle satellite cell,0,0.0,0.5,0.0,0,0,0,0,0
skeletal muscle satellite stem cell,0,0.0,0.5,0.0,0,0,0,0,0
slow muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
sncg GABAergic cortical interneuron,0,0.0,0.5,0.0,0,0,0,0,0
small intestine goblet cell,0,0.0,1.5,0.0,0,0,0,0,0
smooth muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle cell of large intestine,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle cell of prostate,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle cell of small intestine,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle cell of sphincter of pupil,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle cell of the brain vasculature,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle cell of the pulmonary artery,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle fiber of ileum,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle myoblast,0,0.0,0.5,0.0,0,0,0,0,0
syncytiotrophoblast cell,0,0.0,1.5,0.0,0,0,0,0,0
taste receptor cell,0,0.0,0.5,0.0,0,0,0,0,0
tendon cell,0,0.0,0.5,0.0,0,0,0,0,0
urothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
type I NK T cell,0,0.0,1.5,0.0,0,0,0,0,0
type I enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
type I muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
type II NK T cell,0,0.0,1.5,0.0,0,0,0,0,0
type II muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
type L enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
type N enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
type X enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
umbrella cell of urothelium,0,0.0,0.5,0.0,0,0,0,0,0
unipolar brush cell,0,0.0,0.5,0.0,0,0,0,0,0
uterine smooth muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
type EC enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
vasa recta ascending limb cell,0,0.0,1.5,0.0,0,0,0,0,0
vasa recta cell,0,0.0,0.5,0.0,0,0,0,0,0
vasa recta descending limb cell,0,0.0,1.5,0.0,0,0,0,0,0
vascular associated smooth muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
vascular leptomeningeal cell,0,0.0,0.5,0.0,0,0,0,0,0
vascular lymphangioblast,0,0.0,0.5,0.0,0,0,0,0,0
vein endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
vein endothelial cell of respiratory system,0,0.0,0.5,0.0,0,0,0,0,0
ventricular cardiac muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
vestibular dark cell,0,0.0,0.5,0.0,0,0,0,0,0
type G enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
type D enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
thalamic excitatory neuron,0,0.0,0.5,0.0,0,0,0,0,0
tracheobronchial goblet cell,0,0.0,1.5,0.0,0,0,0,0,0
theca cell,0,0.0,0.5,0.0,0,0,0,0,0
thymic fibroblast type 1,0,0.0,0.5,0.0,0,0,0,0,0
thymic fibroblast type 2,0,0.0,0.5,0.0,0,0,0,0,0
thyroid follicular cell,0,0.0,0.5,0.0,0,0,0,0,0
tip cell,0,0.0,0.5,0.0,0,0,0,0,0
tissue-resident macrophage,0,0.0,3.0,0.0,0,0,0,0,0
tongue muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
tonsil germinal center B cell,0,0.0,1.5,0.0,0,0,0,0,0
trabecular meshwork cell,0,0.0,0.5,0.0,0,0,0,0,0
tracheal goblet cell,0,0.0,1.5,0.0,0,0,0,0,0
tracheobronchial serous cell,0,0.0,0.5,0.0,0,0,0,0,0
type B pancreatic cell,0,0.0,0.5,0.0,0,0,0,0,0
tracheobronchial smooth muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
transit amplifying cell,0,0.0,0.5,0.0,0,0,0,0,0
transit amplifying cell of colon,0,0.0,0.5,0.0,0,0,0,0,0
transit amplifying cell of small intestine,0,0.0,0.5,0.0,0,0,0,0,0
transitional stage B cell,0,0.0,1.5,0.0,0,0,0,0,0
trophoblast giant cell,0,0.0,1.5,0.0,0,0,0,0,0
tuft cell,0,0.0,1.5,0.0,0,0,0,0,0
tuft cell of colon,0,0.0,1.5,0.0,0,0,0,0,0
tuft cell of small intestine,0,0.0,1.5,0.0,0,0,0,0,0
type A enteroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
serotonergic neuron,0,0.0,0.5,0.0,0,0,0,0,0
seromucus secreting cell,0,0.0,0.5,0.0,0,0,0,0,0
sensory neuron of dorsal root ganglion,0,0.0,0.5,0.0,0,0,0,0,0
photoreceptor cell,0,0.0,0.5,0.0,0,0,0,0,0
pericyte,0,0.0,0.5,0.0,0,0,0,0,0
peridermal cell,0,0.0,0.5,0.0,0,0,0,0,0
perineurial cell,0,0.0,0.5,0.0,0,0,0,0,0
peripheral blood mononuclear cell,0,0.0,0.5,0.0,0,0,0,0,0
peripheral nervous system neuron,0,0.0,0.5,0.0,0,0,0,0,0
periportal region hepatocyte,0,0.0,0.5,0.0,0,0,0,0,0
peritubular capillary endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
peritubular myoid cell,0,0.0,0.5,0.0,0,0,0,0,0
perivascular cell,0,0.0,0.5,0.0,0,0,0,0,0
perivascular macrophage,0,0.0,3.0,0.0,0,0,0,0,0
pigmented ciliary epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
peg cell,0,0.0,0.5,0.0,0,0,0,0,0
pigmented epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
pinealocyte,0,0.0,0.5,0.0,0,0,0,0,0
placental villous trophoblast,0,0.0,0.5,0.0,0,0,0,0,0
pluripotent stem cell,0,0.0,0.5,0.0,0,0,0,0,0
podocyte,0,0.0,0.5,0.0,0,0,0,0,0
pre-B-I cell,0,0.0,0.5,0.0,0,0,0,0,0
preadipocyte,0,0.0,0.5,0.0,0,0,0,0,0
premigratory neural crest cell,0,0.0,1.5,0.0,0,0,0,0,0
primary cultured cell,0,0.0,0.5,0.0,0,0,0,0,0
primary sensory neuron (sensu Teleostei),0,0.0,0.5,0.0,0,0,0,0,0
kidney collecting duct cell,0,0.0,1.5,0.0,0,0,0,0,0
parietal epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
progenitor cell of endocrine pancreas,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic PP cell,0,0.0,0.5,0.0,0,0,0,0,0
noradrenergic cell,0,0.0,0.5,0.0,0,0,0,0,0
odontoblast,0,0.0,0.5,0.0,0,0,0,0,0
oligodendrocyte,0,0.0,0.5,0.0,0,0,0,0,0
oligodendrocyte precursor cell,0,0.0,1.5,0.0,0,0,0,0,0
oocyte,0,0.0,0.5,0.0,0,0,0,0,0
oogonial cell,0,0.0,0.5,0.0,0,0,0,0,0
oral mucosa squamous cell,0,0.0,0.5,0.0,0,0,0,0,0
ovarian surface epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic A cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic D cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic acinar cell,0,0.0,0.5,0.0,0,0,0,0,0
parietal cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic ductal cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic endocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic epsilon cell,0,0.0,0.5,0.0,0,0,0,0,0
pancreatic stellate cell,0,0.0,0.5,0.0,0,0,0,0,0
paneth cell,0,0.0,0.5,0.0,0,0,0,0,0
paneth cell of colon,0,0.0,0.5,0.0,0,0,0,0,0
paneth cell of epithelium of small intestine,0,0.0,0.5,0.0,0,0,0,0,0
papillary tips cell,0,0.0,0.5,0.0,0,0,0,0,0
parasol ganglion cell of retina,0,0.0,0.5,0.0,0,0,0,0,0
paraxial cell,0,0.0,0.5,0.0,0,0,0,0,0
pro-T cell,0,0.0,1.5,0.0,0,0,0,0,0
progenitor cell of mammary luminal epithelium,0,0.0,0.5,0.0,0,0,0,0,0
sensory neuron,0,0.0,0.5,0.0,0,0,0,0,0
retinal pigment epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
respiratory tract suprabasal cell,0,0.0,0.5,0.0,0,0,0,0,0
reticular cell,0,0.0,0.5,0.0,0,0,0,0,0
reticulocyte,0,0.0,0.5,0.0,0,0,0,0,0
retina horizontal cell,0,0.0,0.5,0.0,0,0,0,0,0
retinal astrocyte,0,0.0,0.5,0.0,0,0,0,0,0
retinal bipolar neuron,0,0.0,0.5,0.0,0,0,0,0,0
retinal blood vessel endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
retinal cell,0,0.0,0.5,0.0,0,0,0,0,0
retinal cone cell,0,0.0,0.5,0.0,0,0,0,0,0
retinal ganglion cell,0,0.0,0.5,0.0,0,0,0,0,0
retinal progenitor cell,0,0.0,0.5,0.0,0,0,0,0,0
respiratory tract hillock cell,0,0.0,0.5,0.0,0,0,0,0,0
retinal rod cell,0,0.0,0.5,0.0,0,0,0,0,0
rod bipolar cell,0,0.0,0.5,0.0,0,0,0,0,0
salivary gland cell,0,0.0,0.5,0.0,0,0,0,0,0
salivary gland glandular cell,0,0.0,0.5,0.0,0,0,0,0,0
sebaceous gland cell,0,0.0,0.5,0.0,0,0,0,0,0
sebocyte,0,0.0,0.5,0.0,0,0,0,0,0
secondary crest myofibroblast,0,0.0,0.5,0.0,0,0,0,0,0
secondary lens fiber,0,0.0,0.5,0.0,0,0,0,0,0
secondary lymphoid organ macrophage,0,0.0,3.0,0.0,0,0,0,0,0
secretory cell,0,0.0,0.5,0.0,0,0,0,0,0
respiratory tract multiciliated cell,0,0.0,0.5,0.0,0,0,0,0,0
respiratory tract goblet cell,0,0.0,1.5,0.0,0,0,0,0,0
prostate gland microvascular endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
pvalb GABAergic cortical interneuron,0,0.0,0.5,0.0,0,0,0,0,0
prostate neuroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
prostate stromal cell,0,0.0,0.5,0.0,0,0,0,0,0
pulmonary alveolar epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
pulmonary alveolar type 1 cell,0,0.0,0.5,0.0,0,0,0,0,0
pulmonary alveolar type 2 cell,0,0.0,0.5,0.0,0,0,0,0,0
pulmonary artery endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
pulmonary capillary endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
pulmonary interstitial fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
pulmonary ionocyte,0,0.0,0.5,0.0,0,0,0,0,0
pulmonary neuroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
pyramidal neuron,0,0.0,0.5,0.0,0,0,0,0,0
respiratory tract epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
radial glial cell,0,0.0,0.5,0.0,0,0,0,0,0
regular atrial cardiac myocyte,0,0.0,0.5,0.0,0,0,0,0,0
regular ventricular cardiac myocyte,0,0.0,0.5,0.0,0,0,0,0,0
renal alpha-intercalated cell,0,0.0,0.5,0.0,0,0,0,0,0
renal beta-intercalated cell,0,0.0,0.5,0.0,0,0,0,0,0
renal intercalated cell,0,0.0,0.5,0.0,0,0,0,0,0
renal interstitial pericyte,0,0.0,0.5,0.0,0,0,0,0,0
renal medullary fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
renal principal cell,0,0.0,0.5,0.0,0,0,0,0,0
respiratory basal cell,0,0.0,0.5,0.0,0,0,0,0,0
kidney collecting duct intercalated cell,0,0.0,0.5,0.0,0,0,0,0,0
immature pericyte,0,0.0,1.5,0.0,0,0,0,0,0
kidney collecting duct alpha-intercalated cell,0,0.0,0.5,0.0,0,0,0,0,0
brainstem motor neuron,0,0.0,0.5,0.0,0,0,0,0,0
basal epithelial cell of prostatic duct,0,0.0,0.5,0.0,0,0,0,0,0
basal epithelial cell of tracheobronchial tree,0,0.0,0.5,0.0,0,0,0,0,0
basal-myoepithelial cell of mammary gland,0,0.0,0.5,0.0,0,0,0,0,0
bipolar neuron,0,0.0,0.5,0.0,0,0,0,0,0
bladder urothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
blood cell,0,0.0,0.5,0.0,0,0,0,0,0
blood vessel endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
blood vessel smooth muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
bone marrow cell,0,0.0,0.5,0.0,0,0,0,0,0
brain vascular cell,0,0.0,0.5,0.0,0,0,0,0,0
bronchial epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
basal cell of prostate epithelium,0,0.0,0.5,0.0,0,0,0,0,0
bronchial goblet cell,0,0.0,1.5,0.0,0,0,0,0,0
bronchial smooth muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
bronchiolar smooth muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
bronchus fibroblast of lung,0,0.0,0.5,0.0,0,0,0,0,0
brush cell of trachea,0,0.0,0.5,0.0,0,0,0,0,0
brush cell of tracheobronchial tree,0,0.0,0.5,0.0,0,0,0,0,0
capillary endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
cardiac blood vessel endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
cardiac endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
cardiac mesenchymal cell,0,0.0,0.5,0.0,0,0,0,0,0
basal cell of urothelium,0,0.0,0.5,0.0,0,0,0,0,0
basal cell of epithelium of trachea,0,0.0,0.5,0.0,0,0,0,0,0
cardiac muscle myoblast,0,0.0,0.5,0.0,0,0,0,0,0
alveolar type 1 fibroblast cell,0,0.0,1.5,0.0,0,0,0,0,0
adult skeletal muscle myoblast,0,0.0,0.5,0.0,0,0,0,0,0
adventitial cell,0,0.0,0.5,0.0,0,0,0,0,0
adventitial fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
afferent neuron,0,0.0,0.5,0.0,0,0,0,0,0
airway submucosal gland collecting duct epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
airway submucosal gland duct basal cell,0,0.0,0.5,0.0,0,0,0,0,0
alternatively activated macrophage,0,0.0,3.0,0.0,0,0,0,0,0
alveolar adventitial fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
alveolar capillary type 1 endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
alveolar capillary type 2 endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
amacrine cell,0,0.0,0.5,0.0,0,0,0,0,0
basal cell of epithelium of lobular bronchiole,0,0.0,0.5,0.0,0,0,0,0,0
angiogenic pericyte,0,0.0,0.5,0.0,0,0,0,0,0
anterior lens cell,0,0.0,0.5,0.0,0,0,0,0,0
antibody secreting cell,0,0.0,0.5,0.0,0,0,0,0,0
arachnoid barrier cell,0,0.0,0.5,0.0,0,0,0,0,0
articular chondrocyte,0,0.0,0.5,0.0,0,0,0,0,0
astrocyte,0,0.0,0.5,0.0,0,0,0,0,0
astrocyte of the cerebral cortex,0,0.0,0.5,0.0,0,0,0,0,0
basal cell,0,0.0,0.5,0.0,0,0,0,0,0
basal cell of epidermis,0,0.0,0.5,0.0,0,0,0,0,0
basal cell of epithelium of bronchus,0,0.0,0.5,0.0,0,0,0,0,0
cardiac muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
cardiac neuron,0,0.0,0.5,0.0,0,0,0,0,0
adipocyte of epicardial fat of left ventricle,0,0.0,0.5,0.0,0,0,0,0,0
columnar/cuboidal epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
ciliated cell,0,0.0,0.5,0.0,0,0,0,0,0
ciliated epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
club cell,0,0.0,1.5,0.0,0,0,0,0,0
club-like cell of the urethral epithelium,0,0.0,0.5,0.0,0,0,0,0,0
collagen secreting cell,0,0.0,0.5,0.0,0,0,0,0,0
colon endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
colon epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
colon goblet cell,0,0.0,1.5,0.0,0,0,0,0,0
colon macrophage,0,0.0,3.0,0.0,0,0,0,0,0
colonocyte,0,0.0,0.5,0.0,0,0,0,0,0
committed oligodendrocyte precursor,0,0.0,1.5,0.0,0,0,0,0,0
chromaffin cell,0,0.0,0.5,0.0,0,0,0,0,0
cone retinal bipolar cell,0,0.0,0.5,0.0,0,0,0,0,0
conjunctiva goblet cell,0,0.0,1.5,0.0,0,0,0,0,0
conjunctival epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
connective tissue cell,0,0.0,0.5,0.0,0,0,0,0,0
contractile cell,0,0.0,0.5,0.0,0,0,0,0,0
corneal endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
corneal epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
cortical cell of adrenal gland,0,0.0,0.5,0.0,0,0,0,0,0
cortical interneuron,0,0.0,0.5,0.0,0,0,0,0,0
cortical thymic epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
ciliary muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
choroid plexus macrophage,0,0.0,3.0,0.0,0,0,0,0,0
cardiac ventricle fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
cerebellar granule cell precursor,0,0.0,1.5,0.0,0,0,0,0,0
caudal ganglionic eminence derived cortical interneuron,0,0.0,0.5,0.0,0,0,0,0,0
cell,0,0.0,0.5,0.0,0,0,0,0,0
cell in vitro,0,0.0,0.5,0.0,0,0,0,0,0
cell of skeletal muscle,0,0.0,0.5,0.0,0,0,0,0,0
central nervous system macrophage,0,0.0,3.0,0.0,0,0,0,0,0
central nervous system neuron,0,0.0,0.5,0.0,0,0,0,0,0
centrilobular region hepatocyte,0,0.0,0.5,0.0,0,0,0,0,0
centroblast,0,0.0,0.5,0.0,0,0,0,0,0
centrocyte,0,0.0,0.5,0.0,0,0,0,0,0
cerebellar granule cell,0,0.0,0.5,0.0,0,0,0,0,0
cerebellar neuron,0,0.0,0.5,0.0,0,0,0,0,0
choroid plexus epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
cerebellum glutamatergic neuron,0,0.0,0.5,0.0,0,0,0,0,0
cerebral cortex GABAergic interneuron,0,0.0,0.5,0.0,0,0,0,0,0
cerebral cortex endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
cerebral cortex neuron,0,0.0,0.5,0.0,0,0,0,0,0
cerebral cortex pyramidal neuron,0,0.0,0.5,0.0,0,0,0,0,0
chandelier cell,0,0.0,0.5,0.0,0,0,0,0,0
